fecha,views,profile_views,likes,comments,shares,viewers_total,viewers_new,viewers_returning,followers_total,followers_diff
2026-02-17,65,2,5,0,0,496,391,105,366,0
2026-02-18,43,1,5,0,0,42,8,34,366,0
2026-02-19,31,1,1,0,0,28,6,22,366,0
2026-02-20,766,17,20,2,0,21,2,19,367,1
2026-02-21,90,3,0,0,0,658,532,126,367,0
2026-02-22,43,0,1,1,0,50,6,44,367,0
2026-02-23,48,5,3,0,0,24,5,19,367,0
2026-02-24,44,1,0,0,0,18,4,14,367,0
2026-02-25,35,2,0,0,0,13,6,7,367,1
2026-02-26,823,13,50,3,4,703,535,168,368,0
2026-02-27,150,7,7,0,0,101,31,70,368,0
2026-02-28,37,1,1,0,0,NA,0,0,368,0
2026-03-01,NA,NA,NA,NA,NA,NA,0,0,NA,NA
